title,price,location,society,bedrooms,bathrooms,size,rating,url,contact_info,description,listing_date,source_file
House Is Available For Sale In Haseeb Shaheed Colony Near Baber Chowk Satiana Road Faisalabad,PKR 1.3 Crore,"Haseeb Shaheed Colony, Satiana Road",Satiana Road,4,2,3 Marla,N/A,https://www.zameen.com/Property/satiana_road_haseeb_shaheed_colony_house_is_available_for_sale_in_haseeb_shaheed_colony_near_baber_chowk_satiana_road_faisalabad-53069877-743-1.html,"Phone Available, Email Available",3 Marla House Is Available For Sale,Added: 2 weeks ago,house-101.html
5 Marla Double Store House Available For Sale In SMD HOMES Eden Orchard,PKR 1.5 Crore,"SMD Homes, Faisalabad",Faisalabad,4,5,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_smd_homes_5_marla_double_store_house_available_for_sale_in_smd_homes_eden_orchard-52658779-12152-1.html,"Phone Available, WhatsApp Available, Email Available","4 Bedroom With Attached Bathroom
 D",Added: 1 month ago,house-1010.html
20 Marla Double Storey House For Sale In Muslim Town 1 Sargodha Road,PKR 4.5 Crore,"Muslim Town, Faisalabad",Faisalabad,6,6,1.1 Kanal,N/A,https://www.zameen.com/Property/faisalabad_muslim_town_20_marla_double_storey_house_for_sale_in_muslim_town_1_sargodha_road-52648790-1156-1.html,"Phone Available, WhatsApp Available, Email Available",22.5 Marla Double Story House For S,Added: 1 month ago,house-1011.html
"7 Marla Double-Storey House For Sale In C Block, Batala Colony, Faisalabad",PKR 5 Crore,"Batala Colony, Peoples Colony No 2",Peoples Colony No 2,4,4,7 Marla,N/A,https://www.zameen.com/Property/peoples_colony_no_2_batala_colony_7_marla_double-storey_house_for_sale_in_c_block_batala_colony_faisalabad-52325311-536-1.html,"Phone Available, WhatsApp Available, Email Available",*7 Marla Double-Story House for Sal,Added: 1 month ago,house-1012.html
5 Marla Double Story New House For Sale 4 Bedroom Al Noor Garden Madina Town Faisalabad,PKR 1.7 Crore,"Al Noor Garden, Faisalabad",Faisalabad,4,5,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_al_noor_garden_5_marla_double_story_new_house_for_sale_4_bedroom_al_noor_garden_madina_town_faisalabad-52835732-8916-1.html,"Phone Available, WhatsApp Available, Email Available","( FOR SALE )
*Alnoor Garden Society",Added: 1 month ago,house-1013.html
5 Marla Brand New House For Sale Eden Exactive Canal Road Faisalabad,PKR 2.3 Crore,"Eden Executive, Eden Gardens",Eden Gardens,3,4,5 Marla,N/A,https://www.zameen.com/Property/eden_gardens_eden_executive_5_marla_brand_new_house_for_sale_eden_exactive_canal_road_faisalabad-52870190-10765-1.html,"Phone Available, WhatsApp Available, Email Available","(FOR SALE)
""Eden Exactive"" Society",Added: 1 month ago,house-1014.html
7 Marla VIP Brand New House For Sale in Divine Enclave Canal rd Faisalabad,PKR 4 Crore,"Divine Enclave, Canal Road",Canal Road,4,5,7 Marla,N/A,https://www.zameen.com/Property/canal_road_divine_enclave_7_marla_vip_brand_new_house_for_sale_in_divine_enclave_canal_rd_faisalabad-52927569-21698-1.html,"Phone Available, WhatsApp Available, Email Available","(FOR SALE) VIP Location
 *Devine En",Added: 1 month ago,house-1015.html
2 Houses ( 3 Marla Each ),PKR 65 Lakh,"Allama Iqbal Colony, Faisalabad",Faisalabad,5,2,3 Marla,N/A,https://www.zameen.com/Property/faisalabad_allama_iqbal_colony_2_houses_3_marla_each-52940721-4905-1.html,"Phone Available, Email Available","twin house available
investment at",Added: 1 month ago,house-1016.html
LUXURY HOME SERIES 7 Marla Park Facing Brand New Luxurious House For Sale.,PKR 3.9 Crore,"Eden Executive, Eden Gardens",Eden Gardens,4,5,7 Marla,N/A,https://www.zameen.com/Property/eden_gardens_eden_executive_luxury_home_series_7_marla_park_facing_brand_new_luxurious_house_for_sale-52937470-10765-1.html,"Phone Available, WhatsApp Available, Email Available","LUXURY HOME SERIES
7 Mala Park Faci",Added: 1 month ago,house-1017.html
"2.45 Marla House for Sale Gulberg Valley, Lower Canal Road, Jaranwala Road, Faisalabad",PKR 80 Lakh,"Gulberg Valley, Faisalabad",Faisalabad,3,4,2.4 Marla,N/A,https://www.zameen.com/Property/faisalabad_gulberg_valley_2_45_marla_house_for_sale_gulberg_valley_lower_canal_road_jaranwala_road_faisalabad-52933034-10823-1.html,"Phone Available, Email Available",2.45 Marla House for Sale Gulberg V,Added: 1 month ago,house-1018.html
5 Marla Double Storey House With Servant Room On Top,PKR 2 Crore,"Wapda City, Faisalabad",Faisalabad,3,5,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_wapda_city_5_marla_double_storey_house_with_servant_room_on_top-52933902-501-1.html,"Phone Available, Email Available",Beautiful House For Sale On Main Ro,Added: 1 month ago,house-1019.html
18 Marla Full Furnished Brand New For House Green Valley Sammandri Road Faisalabad,PKR 12 Crore,"Green Valley, Samundari Road",Samundari Road,6,6,18 Marla,N/A,https://www.zameen.com/Property/samundari_road_green_valley_18_marla_full_furnished_brand_new_for_house_green_valley_sammandri_road_faisalabad-53041955-11199-1.html,"Phone Available, WhatsApp Available, Email Available",Fully Furnished Lavish House Availa,Added: 3 weeks ago,house-102.html
"7 Marla New House Available For Sale in People,s Colony No 1 B Block Faisalabad",PKR 4.15 Crore,"Peoples Colony No 1, Faisalabad",Faisalabad,4,5,7 Marla,N/A,https://www.zameen.com/Property/faisalabad_peoples_colony_no_1_7_marla_new_house_available_for_sale_in_people_s_colony_no_1_b_block_faisalabad-52677087-535-1.html,"Phone Available, WhatsApp Available, Email Available",Beautiful House 7 Marla Available F,Added: 2 months ago,house-1020.html
7 Marla Brand New Luxurious House Available For Sale In Divine Enclave Canal Road,PKR 4 Crore,"Divine Enclave, Canal Road",Canal Road,4,5,7 Marla,N/A,https://www.zameen.com/Property/canal_road_divine_enclave_7_marla_brand_new_luxurious_house_available_for_sale_in_divine_enclave_canal_road-52929836-21698-1.html,"Phone Available, WhatsApp Available, Email Available",7 marla Brand New double height lux,Added: 2 months ago,house-1021.html
5 Marla Double Story House Available For Sale In Gulshan E Madina Phase 2,PKR 1.25 Crore,"Gulshan e Madina Phase 2, Gulshan e Madina",Gulshan e Madina,4,4,5 Marla,N/A,https://www.zameen.com/Property/gulshan_e_madina_gulshan_e_madina_phase_2_5_marla_double_story_house_available_for_sale_in_gulshan_e_madina_phase_2-52774374-21551-1.html,"Phone Available, WhatsApp Available, Email Available",5 marla double story house availabl,Added: 2 months ago,house-1022.html
7 Marla Like Brand New Double Storey House Available For Sale In Eden Orchard,PKR 3.1 Crore,"Eden Orchard, Faisalabad",Faisalabad,5,6,7 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_7_marla_like_brand_new_double_storey_house_available_for_sale_in_eden_orchard-52927574-11162-1.html,"Phone Available, WhatsApp Available, Email Available","5 Bedroom With Attached Bathroom
Dr",Added: 2 months ago,house-1023.html
5-Marla Brand New House For Sale Wapda City,PKR 1.69 Crore,"Wapda City, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_wapda_city_5-marla_brand_new_house_for_sale_wapda_city-52768031-501-1.html,"Phone Available, WhatsApp Available, Email Available",5-Marla Brand New House For Sale,Added: 2 months ago,house-1024.html
5 Marla Brand New House Available For Sale In WAPDA CITY Faisalabad.,PKR 1.8 Crore,"Wapda City, Faisalabad",Faisalabad,3,4,5 Marla,Titanium,https://www.zameen.com/Property/faisalabad_wapda_city_5_marla_brand_new_house_available_for_sale_in_wapda_city_faisalabad-52642850-501-1.html,"Phone Available, WhatsApp Available, Email Available",5 marla Brand New House available f,Added: 2 months ago,house-1025.html
Gulfishan Colony Main Road Beautiful Corner House 4.39 Marla,PKR 2.3 Crore,"Gulfishan Colony, Faisalabad",Faisalabad,6,2,4 Marla,N/A,https://www.zameen.com/Property/faisalabad_gulfishan_colony_gulfishan_colony_main_road_beautiful_corner_house_4_39_marla-52921517-4950-1.html,"Phone Available, Email Available",4.39 Marla solid constructed corner,Added: 2 months ago,house-1026.html
7.5-Marla Solid Constructed House For Urgent Sale On Investor Rate,PKR 2.6 Crore,"Eden Gardens, Faisalabad",Faisalabad,4,4,8 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_gardens_7_5-marla_solid_constructed_house_for_urgent_sale_on_investor_rate-52884838-8296-1.html,"Phone Available, WhatsApp Available, Email Available",7.5 Marla solid constructed house f,Added: 2 months ago,house-1027.html
"This Property Is Specifically Designed For A Variety Of Uses, Including Hospitals, Corporate Headquarters, Clinics, And Investment Suites.",PKR 17 Crore,"Gulshan E Makkah, Sargodha Road",Sargodha Road,N/A,N/A,2 Kanal,Titanium,https://www.zameen.com/Property/sargodha_road_gulshan_e_makkah_this_property_is_specifically_designed_for_a_variety_of_uses_including_hospitals_corporate_headquarters_clinics_and_investment_suites-52906545-15658-1.html,"Phone Available, WhatsApp Available, Email Available",Modern Commercial Building For Sale,Added: 2 months ago,house-1028.html
MEDIACOM AVENUE CANAL ROAD,PKR 3.85 Crore,"Mediacom Avenue, Faisalabad",Faisalabad,5,5,13 Marla,Titanium,https://www.zameen.com/Property/faisalabad_mediacom_avenue_mediacom_avenue_canal_road-52527710-13128-1.html,"Phone Available, WhatsApp Available, Email Available","Well maintained house for sale. 
Fr",Added: 2 months ago,house-1029.html
5 MARLA BRAND NEW HOUSE AVAILABLE FOR SALE,PKR 2 Crore,"Wapda City - Block L, Wapda City",Wapda City,N/A,N/A,5 Marla,N/A,https://www.zameen.com/Property/wapda_city_wapda_city_-_block_l_5_marla_brand_new_house_available_for_sale-52894593-5076-1.html,"Phone Available, WhatsApp Available, Email Available","A Prestigious Place To Live in,
 Pr",Added: 4 weeks ago,house-103.html
2.5 Marla Double Story Brand New House Available For Sale In Green Town Millet Road,PKR 85 Lakh,"Green Town, Faisalabad",Faisalabad,3,4,2 Marla,N/A,https://www.zameen.com/Property/faisalabad_green_town_2_5_marla_double_story_brand_new_house_available_for_sale_in_green_town_millet_road-52890803-1388-1.html,"Phone Available, WhatsApp Available, Email Available",2.5 Marla Brand New Double Story Ho,Added: 2 months ago,house-1030.html
5 Marla New Brand 3 Storey House Eden Orchard Sargodha Road Ideal Location,PKR 2.5 Crore,"Eden Orchard, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_5_marla_new_brand_3_storey_house_eden_orchard_sargodha_road_ideal_location-52556147-11162-1.html,"Phone Available, WhatsApp Available, Email Available",3 bedroom with attached luxury wash,Added: 2 months ago,house-1031.html
5 Marla New Brand Double Storey House Eden Orchard Sargodha Road Ideal Location,PKR 2.35 Crore,"Eden Orchard, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_5_marla_new_brand_double_storey_house_eden_orchard_sargodha_road_ideal_location-52560948-11162-1.html,"Phone Available, WhatsApp Available, Email Available",5 Marla new brand double story hous,Added: 2 months ago,house-1032.html
7 Marla New Brand Double Storey House Eden Orchard Sargodha Road Ideal Location,PKR 2.75 Crore,"Eden Orchard, Faisalabad",Faisalabad,3,4,7 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_7_marla_new_brand_double_storey_house_eden_orchard_sargodha_road_ideal_location-52588113-11162-1.html,"Phone Available, WhatsApp Available, Email Available",7 Marla new brand double story hous,Added: 2 months ago,house-1033.html
"5-Marla East Open ""State Of The Art""Brand New House Available For Sale",PKR 2.8 Crore,"Eden Valley, Faisalabad",Faisalabad,3,4,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_valley_5-marla_east_open_state_of_the_art_brand_new_house_available_for_sale-52873213-8917-1.html,"Phone Available, WhatsApp Available, Email Available","5-Marla Brand new ""State of the Art",Added: 2 months ago,house-1034.html
Eden Orchard Brand New Luxury 10 Marla Park Facing Main Boulevard Road Double Storey House For Sale,PKR 4.95 Crore,"Eden Orchard, Faisalabad",Faisalabad,5,6,10 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_eden_orchard_brand_new_luxury_10_marla_park_facing_main_boulevard_road_double_storey_house_for_sale-52355722-11162-1.html,"Phone Available, WhatsApp Available, Email Available",EDEN ORCHARD 10 MARLA BRAND NEW PAR,Added: 2 months ago,house-1035.html
15-Marla Brand New House For Sale Wapda City,PKR 5.49 Crore,"Wapda City, Faisalabad",Faisalabad,6,6,15 Marla,N/A,https://www.zameen.com/Property/faisalabad_wapda_city_15-marla_brand_new_house_for_sale_wapda_city-52767996-501-1.html,"Phone Available, WhatsApp Available, Email Available","very lavish house 
 Good location",Added: 3 months ago,house-1036.html
7 Marla Single Storey House Available For Sale In Lasani Town Sargodha Road Lasani Pulli,PKR 1.8 Crore,"Lasani Town, Faisalabad",Faisalabad,3,4,7 Marla,N/A,https://www.zameen.com/Property/faisalabad_lasani_town_7_marla_single_storey_house_available_for_sale_in_lasani_town_sargodha_road_lasani_pulli-52693415-420-1.html,"Phone Available, WhatsApp Available, Email Available","7 Marla House For sale 
 
Location:",Added: 3 months ago,house-1037.html
18 Marla Brand New House For Sale Canal Road Saeed Colony Faisalabad,PKR 6 Crore,"Canal Road, Faisalabad",Faisalabad,5,7,18 Marla,N/A,https://www.zameen.com/Property/faisalabad_canal_road_18_marla_brand_new_house_for_sale_canal_road_saeed_colony_faisalabad-52197262-1140-1.html,"Phone Available, WhatsApp Available, Email Available",*For Sale. 18 Marla Brand New House,Added: 3 months ago,house-1038.html
Prime Location 5 Marla House For sale In Rs. 25000000 Only,PKR 2.5 Crore,"Green Valley, Samundari Road",Samundari Road,N/A,N/A,5 Marla,N/A,https://www.zameen.com/Property/samundari_road_green_valley_prime_location_5_marla_house_for_sale_in_rs_25000000_only-52849621-11199-1.html,"Phone Available, WhatsApp Available, Email Available",Your search for properties sized 5,Added: 1 month ago,house-1039.html
10 MARLA BRAND NEW LUXURY HOUSE FOR SALE,PKR 4.15 Crore,"Wapda City - Block M, Wapda City",Wapda City,4,6,10 Marla,N/A,https://www.zameen.com/Property/wapda_city_wapda_city_-_block_m_10_marla_brand_new_luxury_house_for_sale-53020469-5077-1.html,"Phone Available, WhatsApp Available, Email Available","A Prestigious Place To Live in,
 Pr",Added: 4 weeks ago,house-104.html
10 MARLA BRAND NEW LUXURY HOUSE AVAILABLE FOR SALE,PKR 3.5 Crore,"Wapda City, Faisalabad",Faisalabad,5,6,10 Marla,N/A,https://www.zameen.com/Property/faisalabad_wapda_city_10_marla_brand_new_luxury_house_available_for_sale-52868375-501-1.html,"Phone Available, WhatsApp Available, Email Available","A Prestigious Place To Live in,
Pri",Added: 3 weeks ago,house-1040.html
3 Marla Ready House For Sale In Rachna Town,PKR 85 Lakh,"Rachna Town, Faisalabad",Faisalabad,2,3,3 Marla,N/A,https://www.zameen.com/Property/faisalabad_rachna_town_3_marla_ready_house_for_sale_in_rachna_town-53059490-5029-1.html,"Phone Available, Email Available","House Details:
 3 Marla 1.5 Story R",Added: 3 weeks ago,house-1041.html
5 Marla Double Storey Corner House For Sale In Eden Orchard Faisalabad,PKR 1.85 Crore,"Eden Orchard, Faisalabad",Faisalabad,4,5,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_eden_orchard_5_marla_double_storey_corner_house_for_sale_in_eden_orchard_faisalabad-52865788-11162-1.html,"Phone Available, WhatsApp Available, Email Available",5 marla double storey corner house,Added: 3 weeks ago,house-1042.html
5 Marla Beautiful House For Sale Lyallpur Avenue Jaranwala Road,PKR 1.32 Crore,"Jaranwala Road, Faisalabad",Faisalabad,3,4,5 Marla,Titanium,https://www.zameen.com/Property/faisalabad_jaranwala_road_5_marla_beautiful_house_for_sale_lyallpur_avenue_jaranwala_road-52835278-9229-1.html,"Phone Available, WhatsApp Available, Email Available",5 Marla Beautiful Home for Sale Lya,Added: 1 month ago,house-1043.html
3.5 Marla House Available For Sale In Muslim Town No1,PKR 1.25 Crore,"Muslim Town, Faisalabad",Faisalabad,3,4,3.5 Marla,Titanium,https://www.zameen.com/Property/faisalabad_muslim_town_3_5_marla_house_available_for_sale_in_muslim_town_no1-52400476-1156-1.html,"Phone Available, WhatsApp Available, Email Available",3.5 Marla House available for sale,Added: 1 month ago,house-1044.html
"1 Kanal House for sale in Paradise Valley, phase 1.",PKR 11.5 Crore,"Paradise Valley, Faisalabad",Faisalabad,4,5,1 Kanal,N/A,https://www.zameen.com/Property/faisalabad_paradise_valley_1_kanal_house_for_sale_in_paradise_valley_phase_1-52885665-5016-1.html,"Phone Available, Email Available",1 Kanal house for sale in Paradise,Added: 2 months ago,house-1045.html
3 Marla Double Storey,PKR 1.3 Crore,"Makkah Garden, Faisalabad",Faisalabad,4,4,3 Marla,N/A,https://www.zameen.com/Property/faisalabad_makkah_garden_3_marla_double_storey-52959635-10821-1.html,"Phone Available, WhatsApp Available, Email Available",Book your dream home from our endle,Added: 1 month ago,house-1046.html
15 Marla Single Storey House Available For Sale In Muslim Town Sargodha Road,PKR 4 Crore,"Muslim Town - Abubakar Sadeeq Block, Muslim Town",Muslim Town,3,4,15 Marla,N/A,https://www.zameen.com/Property/muslim_town_muslim_town_-_abubakar_sadeeq_block_15_marla_single_storey_house_available_for_sale_in_muslim_town_sargodha_road-52608841-5005-1.html,"Phone Available, WhatsApp Available, Email Available",15 Marla Single Store House For Sal,Added: 1 month ago,house-1047.html
20 Marla Double Storey House For Sale In Muslim Town 1 Sargodha Road,PKR 6 Crore,"Muslim Town, Faisalabad",Faisalabad,5,7,1 Kanal,N/A,https://www.zameen.com/Property/faisalabad_muslim_town_20_marla_double_storey_house_for_sale_in_muslim_town_1_sargodha_road-52604605-1156-1.html,"Phone Available, WhatsApp Available, Email Available",20 Marla Double Story House For Sal,Added: 1 month ago,house-1048.html
Lasani Town House For Sale,PKR 3.85 Crore,"Lasani Town, Faisalabad",Faisalabad,5,4,11 Marla,N/A,https://www.zameen.com/Property/faisalabad_lasani_town_lasani_town_house_for_sale-53026503-420-1.html,"Phone Available, WhatsApp Available, Email Available",A 11.5 Marla House Is Available For,Added: 4 weeks ago,house-1049.html
965 Square Feet Apartment Is Available For Sale In Wadi-e-Sitara Faisalabad,PKR 1.5 Crore,"Wadi-e-Sitara, Lahore - Sheikhupura - Faisalabad Road",Lahore - Sheikhupura - Faisalabad Road,3,3,4.3 Marla,N/A,https://www.zameen.com/Property/lahore_sheikhupura_faisalabad_road_wadi-e-sitara_965_square_feet_apartment_is_available_for_sale_in_wadi-e-sitara_faisalabad-53012921-12441-1.html,"Phone Available, Email Available",965 Square Feet Apartment Is Availa,Added: 4 weeks ago,house-105.html
"""City Housing Society 5 Marla VIP House for Sale""۔",PKR 1.6 Crore,"Sargodha Road, Faisalabad",Faisalabad,4,3,5 Marla,N/A,https://www.zameen.com/Property/faisalabad_sargodha_road_city_housing_society_5_marla_vip_house_for_sale-52979960-768-1.html,"Phone Available, WhatsApp Available, Email Available","""5 Marla ka VIP Full Furnished Ghar",Added: 1 month ago,house-1050.html
Get This Amazing 5 Marla House Available In Wapda City - Block L.,PKR 1.95 Crore,"Wapda City - Block L, Wapda City",Wapda City,N/A,N/A,5 Marla,N/A,https://www.zameen.com/Property/wapda_city_wapda_city_-_block_l_get_this_amazing_5_marla_house_available_in_wapda_city_-_block_l-52719671-5076-1.html,"Phone Available, WhatsApp Available, Email Available",Your search for a house in Faisalab,Added: 1 month ago,house-1051.html
Gulshna Madina Phase 1,PKR 3.75 Crore,"Gulshan e Madina, Faisalabad",Faisalabad,5,5,12 Marla,Titanium,https://www.zameen.com/Property/faisalabad_gulshan_e_madina_gulshna_madina_phase_1-52901788-1252-1.html,"Phone Available, WhatsApp Available, Email Available",Fully furnished house available for,Added: 2 months ago,house-1052.html
House Of 5 Marla For sale In Wapda City - Block L,PKR 1.9 Crore,"Wapda City - Block L, Wapda City",Wapda City,N/A,N/A,5 Marla,N/A,https://www.zameen.com/Property/wapda_city_wapda_city_-_block_l_house_of_5_marla_for_sale_in_wapda_city_-_block_l-52876298-5076-1.html,"Phone Available, WhatsApp Available, Email Available",This House is a great investment op,Added: 3 weeks ago,house-1053.html
Model House Available In 5(FIVE) Year Installment Plan Citi Housing,PKR 1.99 Crore,"Citi Housing Sargodha Road, Citi Housing",Citi Housing,3,4,5 Marla,N/A,https://www.zameen.com/Property/citi_housing_citi_housing_sargodha_road_model_house_available_in_5_five_year_installment_plan_citi_housing-52670218-11229-1.html,"Phone Available, WhatsApp Available, Email Available",You can become a proud owner of pro,Added: 3 weeks ago,house-1054.html
"** 1 Kanal House For Sale University Town, Near Madina University, Sargodha Road, Faisalabad**",PKR 8.45 Crore,"University Town, Faisalabad",Faisalabad,6,6,1 Kanal,N/A,https://www.zameen.com/Property/faisalabad_university_town_1_kanal_house_for_sale_university_town_near_madina_university_sargodha_road_faisalabad-52973175-5063-1.html,"Phone Available, WhatsApp Available, Email Available",** 1 Kanal House for Sale Universit,Added: 3 weeks ago,house-1055.html
6.1 Marla Corner House At A Prime Location In Madina Town,PKR 1.5 Crore,"Madina Town, Faisalabad",Faisalabad,2,2,7.3 Marla,N/A,https://www.zameen.com/Property/faisalabad_madina_town_6_1_marla_corner_house_at_a_prime_location_in_madina_town-53031823-533-1.html,"Phone Available, Email Available",6.1 Marla corner plot in madinatown,Added: 3 weeks ago,house-1056.html
5 Marla Beautiful House For Sale In Model City-1,PKR 1.85 Crore,"Model City 1, Canal Road",Canal Road,3,4,5 Marla,N/A,https://www.zameen.com/Property/canal_road_model_city_1_5_marla_beautiful_house_for_sale_in_model_city-1-53030274-8590-1.html,"Phone Available, WhatsApp Available, Email Available",5 Marla Beautiful House For Sale In,Added: 3 weeks ago,house-1057.html
10 Marla House Available For Sale,PKR 3.5 Crore,"Citi Housing Samundri Road, Citi Housing",Citi Housing,5,6,10 Marla,N/A,https://www.zameen.com/Property/citi_housing_citi_housing_samundri_road_10_marla_house_available_for_sale-52997583-11230-1.html,"Phone Available, WhatsApp Available, Email Available",10 Marla House Available For Sale,Added: 1 month ago,house-1058.html
05 Marla Brand New Park Facing House,PKR 1.65 Crore,"Citi Housing Samundri Road, Citi Housing",Citi Housing,3,4,5 Marla,N/A,https://www.zameen.com/Property/citi_housing_citi_housing_samundri_road_05_marla_brand_new_park_facing_house-52952069-11230-1.html,"Phone Available, WhatsApp Available, Email Available","5 Marla Brand New House For Sale
 C",Added: 1 month ago,house-1059.html
